tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2019-11-18,69,35,17,165,22,165,O3,TIDAK SEHAT,DKI5
2019-11-19,72,35,21,100,17,100,O3,SEDANG,DKI5
2019-11-20,53,21,18,134,15,134,O3,TIDAK SEHAT,DKI3
2019-11-21,72,36,21,103,14,103,O3,TIDAK SEHAT,DKI2
2019-11-22,60,35,27,112,17,112,O3,TIDAK SEHAT,DKI2
2019-11-23,85,36,34,146,19,146,O3,TIDAK SEHAT,DKI5
2019-11-24,68,37,27,167,13,167,O3,TIDAK SEHAT,DKI5
2019-11-25,67,36,23,160,18,160,O3,TIDAK SEHAT,DKI5
2019-11-26,81,35,30,125,15,125,O3,TIDAK SEHAT,DKI5
2019-11-27,70,34,38,101,12,101,O3,TIDAK SEHAT,DKI5
2019-11-28,71,36,28,106,14,106,O3,TIDAK SEHAT,DKI3
2019-11-29,63,35,25,124,11,124,O3,TIDAK SEHAT,DKI4
2019-11-30,56,34,26,111,13,111,O3,TIDAK SEHAT,DKI4
2019-12-01,63,34,30,117,10,117,O3,TIDAK SEHAT,DKI4
2019-12-02,53,35,21,136,14,136,O3,TIDAK SEHAT,DKI5
2019-12-03,68,23,28,107,16,107,O3,TIDAK SEHAT,DKI5
2019-12-04,61,36,29,125,13,125,O3,TIDAK SEHAT,DKI4
2019-12-05,61,34,22,143,13,143,O3,TIDAK SEHAT,DKI4
2019-12-06,61,35,25,159,11,159,O3,TIDAK SEHAT,DKI4
2019-12-07,48,35,20,86,10,86,O3,SEDANG,DKI4
2019-12-08,56,35,29,120,10,120,O3,TIDAK SEHAT,DKI4
2019-12-09,71,35,30,155,19,155,O3,TIDAK SEHAT,DKI5
2019-12-10,63,35,24,91,12,91,O3,SEDANG,DKI4
2019-12-11,74,37,31,184,14,184,O3,TIDAK SEHAT,DKI5
2019-12-12,74,36,28,87,14,87,O3,SEDANG,DKI3
2019-12-13,71,37,29,120,13,120,O3,TIDAK SEHAT,DKI4
2019-12-14,63,37,23,94,13,94,O3,SEDANG,DKI3
2019-12-15,63,36,19,99,11,99,O3,SEDANG,DKI5
2019-12-16,76,36,22,88,18,88,O3,SEDANG,DKI5
2019-12-17,62,36,22,75,12,75,O3,SEDANG,DKI5
